steps,return
0,1414.9757000000004
3,1386.6565
6,1460.6072000000004
9,1419.4735000000005
12,1498.411800000001
15,1510.9223000000009
18,1522.8391000000013
21,1497.1422
24,1535.2371999999984
27,1533.9133000000004
30,1544.4638000000007
33,1542.5232000000021
36,1563.7109000000003
39,1561.7327999999998
42,1572.3410999999996
45,1566.3549999999984
48,1570.5262999999995
51,1575.8673999999987
54,1565.1195000000005
57,1565.9377000000006
60,1570.8132999999993
63,1564.7318000000002
66,1569.9806999999996
69,1549.0911999999987
72,1572.0445000000009
75,1562.8761999999986
78,1568.5752999999993
81,1579.1866999999993
84,1568.6739000000011
87,1581.7242
90,1571.311600000001
93,1562.8427999999997
96,1555.7452000000003
99,1560.523500000001
102,1562.9627000000012
105,1548.7996999999996
108,1571.6915999999999
111,1565.7189999999994
114,1567.1776999999995
117,1576.3332999999993
120,1567.9303
123,1553.1443999999997
126,1578.5459000000012
129,1575.3091000000009
132,1560.8474
135,1580.4299999999994
138,1571.6353000000006
141,1572.6672000000008
144,1560.6729999999993
147,1576.8883000000008
150,1564.4622000000015
153,1557.4911
156,1574.0661000000007
159,1574.7392000000007
162,1579.4270999999992
165,1559.6729
168,1567.509
171,1565.957599999999
174,1567.4477999999997
177,1575.7241999999992
180,1563.6346999999998
183,1576.3976000000011
186,1574.7071999999998
189,1578.7987999999996
192,1574.5880999999997
195,1557.346000000001
198,1578.8492000000017
201,1578.7068000000004
204,1578.3190000000009
207,1582.9845000000005
210,1570.344
213,1578.3848000000007
216,1584.9012000000007
219,1581.2588999999991
222,1579.6226999999997
225,1573.4889000000003
228,1572.0779999999995
231,1573.8413999999996
234,1578.9546000000007
237,1573.6908000000003
240,1588.3239999999996
243,1575.9314
246,1578.9599000000003
249,1556.1741000000015
