steps,return
0,2040.9043375000006
3,2115.70364875
6,2185.355327499999
9,2242.6480112500008
12,2263.172635
15,2274.7682637499997
18,2285.1827162500003
21,2245.66564375
24,2308.2676874999997
27,2327.6387025000004
30,2342.0210724999993
33,2361.9073312500004
36,2376.61648625
39,2379.08264125
42,2391.3420424999995
45,2404.13586125
48,2428.002031249999
51,2430.660605
54,2432.9144137499998
57,2453.4416599999995
60,2463.0962962499993
63,2473.8185262499996
66,2485.7209574999997
69,2488.454367500001
72,2503.021895
75,2510.1407212500003
78,2518.0423337500006
81,2520.2768025
84,2528.21414
87,2526.0813212499997
90,2537.4279774999995
93,2544.940893749999
96,2555.3968412499994
99,2566.5316649999995
