steps,return
0,456.7074208333333
3,81.011475
6,925.9555541666664
9,1039.7119291666663
12,965.1250249999999
15,1043.1699833333337
18,1093.6868416666669
21,1064.0601791666666
24,1073.8806916666667
27,1106.2619999999997
30,1067.4839250000002
33,1111.1880708333333
36,344.7401791666666
39,44.92892916666668
42,44.67525416666668
45,42.450479166666675
48,47.089837499999994
51,44.07231666666666
54,48.066116666666666
57,48.83241666666666
60,46.21837499999999
63,43.83393333333333
66,44.521133333333346
69,43.33377083333334
72,42.30455
75,44.484125
78,46.86504166666668
81,42.01397083333334
84,42.37938333333334
87,44.33985833333333
90,43.01127916666667
93,45.54166666666666
96,46.324749999999995
99,41.74229583333334
102,50.15866666666667
105,42.9293375
108,44.012979166666646
111,45.85117499999999
114,44.24510833333334
117,47.01317500000001
120,49.89571666666666
123,51.72031666666667
126,51.19043750000002
129,54.41633750000002
132,55.5292125
135,46.54625416666668
138,43.1141375
141,42.72257083333334
144,42.99223750000001
147,43.0037
150,43.86913333333333
153,46.54961666666668
156,57.195241666666675
159,409.2965583333333
162,676.4192458333334
165,669.2487416666665
168,869.0868374999999
171,492.2239958333334
174,475.07809583333346
177,590.2317666666669
180,724.0083291666668
183,795.851525
186,666.569975
189,925.0356416666668
192,614.5039625000001
195,712.8438875
198,829.19575
